Question,Answer,Confidence
What is diabetes?,"too much glucose in the blood diabetes means your blood glucose (often called blood sugar) is too high. your blood always has some glucose in it because your body needs glucose for energy to keep you going. but too much glucose in the blood isn't good for your health. glucose comes from the food you eat and is also made in your liver and muscles. your blood carries the glucose to all of the cells in your body. insulin is a chemical (a hormone) made by the pancreas. the pancreas releases insulin into the blood. insulin helps the glucose from food get into your cells. if your body does not make enough insulin or if the insulin doesn't work the way it should, glucose can't get into your cells. it stays in your blood instead. your blood glucose level then gets too high, causing pre-diabetes or diabetes. types of diabetes there are three main kinds of diabetes: type 1, type 2, and gestational diabetes. the result of type 1 and type 2 diabetes is the same: glucose builds up in the blood, while the cells are starved of energy. over the years, high blood glucose damages nerves and blood vessels, oftentimes leading to complications such as heart disease, stroke, blindness, kidney disease, nerve problems, gum infections, and amputation. type 1 diabetes type 1 diabetes, which used to be called called juvenile diabetes or insulin-dependent diabetes, develops most often in young people. however, type 1 diabetes can also develop in adults. with this form of diabetes, your body no longer makes insulin or doesnt make enough insulin because your immune system has attacked and destroyed the insulin-producing cells. about 5 to 10 percent of people with diabetes have type 1 diabetes. to survive, people with type 1 diabetes must have insulin delivered by injection or a pump. learn more about type 1 diabetes here. type 2 diabetes type 2 diabetes, which used to be called adult-onset diabetes or non insulin-dependent diabetes, is the most common form of diabetes. although people can develop type 2 diabetes at any age -- even during childhood -- type 2 diabetes develops most often in middle-aged and older people. type 2 diabetes usually begins with insulin resistancea condition that occurs when fat, muscle, and liver cells do not use insulin to carry glucose into the bodys cells to use for energy. as a result, the body needs more insulin to help glucose enter cells. at first, the pancreas keeps up with the added demand by making more insulin. over time, the pancreas doesnt make enough insulin when blood sugar levels increase, such as after meals. if your pancreas can no longer make enough insulin, you will need to treat your type 2 diabetes. learn more about type 2 diabetes here. gestational diabetes some women develop gestational diabetes during the late stages of pregnancy. gestational diabetes is caused by the hormones of pregnancy or a shortage of insulin. although this form of diabetes usually goes away after the baby is born, a woman who has had it and her child are more likely to develop diabetes later in life. prediabetes prediabetes means your blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. people with prediabetes are at an increased risk for developing type 2 diabetes and for heart disease and stroke. the good news is that if you have prediabetes, you can reduce your risk of getting type 2 diabetes. with modest weight loss and moderate physical activity, you can delay or prevent type 2 diabetes. learn more about prediabetes here. signs of diabetes many people with diabetes experience one or more symptoms, including extreme thirst or hunger, a frequent need to urinate and/or fatigue. some lose weight without trying. additional signs include sores that heal slowly, dry, itchy skin, loss of feeling or tingling in the feet and blurry eyesight. some people with diabetes, however, have no symptoms at all. how many have diabetes? nearly 29 million americans age 20 or older (12.3 percent of all people in this age group) have diabetes, according to 2014 estimates from the centers for disease control and prevention (cdc). about 1.9 million people aged 20 years or older were newly diagnosed with diabetes in 2010 alone. people can get diabetes at any age, but the risk increases as we get older. in 2014, over 11 million older adults living in the u.s -- nearly 26 percent of people 65 or older -- had diabetes. see more statistics about diabetes from the national diabetes statistics report 2014. (centers for disease control and prevention.) if diabetes is not managed diabetes is a very serious disease. over time, diabetes that is not well managed causes serious damage to the eyes, kidneys, nerves, heart, gums and teeth. if you have diabetes, you are more likely than people without diabetes to have heart disease or a stroke. people with diabetes also tend to develop heart disease or stroke at an earlier age than others. the best way to protect yourself from the serious complications of diabetes is to manage your blood glucose, blood pressure and cholesterol and to avoid smoking. it is not always easy, but people who make an ongoing effort to manage their diabetes can greatly improve their overall health.",1.0
What are the symptoms of malaria?,"what are the signs and symptoms of malaria? the human phenotype ontology provides the following list of signs and symptoms for malaria. if the information is available, the table below includes how often the symptom is seen in people with this condition. you can use the medlineplus medical dictionary to look up the definitions for these medical terms. signs and symptoms approximate number of patients (when available) autosomal recessive inheritance - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition. much of this information comes from orphanet, a european rare disease database. the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. the frequency may also be listed as a fraction. the first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. for example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. sometimes, no information on frequency is available. in these cases, the sign or symptom may be rare or common.",1.0
What causes asthma?,"the exact cause of asthma isn't known. researchers think some genetic and environmental factors interact to cause asthma, most often early in life. these factors include: an inherited tendency to develop allergies, called atopy (at-o-pe) parents who have asthma certain respiratory infections during childhood contact with some airborne allergens or exposure to some viral infections in infancy or in early childhood when the immune system is developing if asthma or atopy runs in your family, exposure to irritants (for example, tobacco smoke) may make your airways more reactive to substances in the air. some factors may be more likely to cause asthma in some people than in others. researchers continue to explore what causes asthma. the ""hygiene hypothesis"" one theory researchers have for what causes asthma is the ""hygiene hypothesis."" they believe that our western lifestylewith its emphasis on hygiene and sanitationhas resulted in changes in our living conditions and an overall decline in infections in early childhood. many young children no longer have the same types of environmental exposures and infections as children did in the past. this affects the way that young children's immune systems develop during very early childhood, and it may increase their risk for atopy and asthma. this is especially true for children who have close family members with one or both of these conditions.",1.0
What is hypertension?,"correct option: l dopa. levo-dopa may form dopamine in the periphery. it can act on receptors in the blood vessels but the increase in bp is not seen. rather, postural hypotension is quite common with l-dopa therapy. it may be due to its central action resulting in the decrease in the central sympathetic outflow. cyclosporine can produce nephrotoxicity, ototoxicity, hyperkalemia, hyperglycemia, hypertension and hyperlipidemia. erythropoietin produces symptoms due to a sudden rise in hematocrit. it may cause hypertension. nsaids blunt the antihypertensive and diuretic effects of thiazides and loop diuretics and may result in salt and water retention.",0.815
How can I prevent heart disease?,"taking action to control your risk factors can help prevent or delaycoronary heart disease(chd). your risk for chd increases with the number of chd risk factors you have. one step you can take is to adopt a heart healthy lifestyle. a heart healthy lifestyle should be part of a lifelong approach to healthy living. for example, if you smoke, try to quit. smoking can raise your risk for chd andheart attackand worsen other chd risk factors. talk with your doctor about programs and products that can help you quit. also, try to avoid secondhand smoke. for more information about quitting smoking, go to the health topics smoking and your heart article and the national heart, lung, and blood institute's (nhlbi's) ""your guide to a healthy heart."" following a healthy diet also is an important part of a healthy lifestyle. a healthy diet includes a variety of vegetables and fruits. it also includes whole grains, fat-free or low-fat dairy products, and protein foods, such as lean meats, poultry without skin, seafood, processed soy products, nuts, seeds, beans, and peas. a healthy diet is low in sodium (salt), added sugars, solid fats, and refined grains. solid fats are saturated fat and trans fatty acids. refined grains come from processing whole grains, which results in a loss of nutrients (such as dietary fiber). the nhlbi's therapeutic lifestyle changes (tlc) and dietary approaches to stop hypertension (dash) are two programs that promote healthy eating. if you'reoverweight or obese, work with your doctor to create a reasonable weight-loss plan. controlling your weight helps you control chd risk factors. be as physically active as you can. physical activity can improve your fitness level and your health. talk with your doctor about what types of activity are safe for you. for more information about physical activity, go to the health topics physical activity and your heart article and the nhlbi's ""your guide to physical activity and your heart."" know your family history of chd. if you or someone in your family has chd, be sure to tell your doctor. if lifestyle changes aren't enough, you also may need medicines to control your chd risk factors. take all of your medicines as prescribed. for more information about lifestyle changes and medicines, go to ""how is heart disease treated?""",0.848
What is anemia?,"if you have anemia, your blood does not carry enough oxygen to the rest of your body. the most common cause of anemia is not having enough iron. your body needs iron to make hemoglobin. hemoglobin is an iron-rich protein that gives the red color to blood. it carries oxygen from the lungs to the rest of the body. anemia has three main causes: blood loss, lack of red blood cell production, and high rates of red blood cell destruction. conditions that may lead to anemia include - heavy periods - pregnancy - ulcers - colon polyps or colon cancer - inherited disorders - a diet that does not have enough iron, folic acid or vitamin b12 - blood disorders such as sickle cell anemia and thalassemia, or cancer - aplastic anemia, a condition that can be inherited or acquired - g6pd deficiency, a metabolic disorder anemia can make you feel tired, cold, dizzy, and irritable. you may be short of breath or have a headache. your doctor will diagnose anemia with a physical exam and blood tests. treatment depends on the kind of anemia you have. nih: national heart, lung, and blood institute",1.0
What causes fever?,"correct option: all. ans. is 'a' i.e., thrombocytopenia; 'b' i.e., dic; 'c' i.e., hemolysis - cerebral malaria - lactic acidosis - hypoglycemia - non cardiogenic pulmonary edema (ards) - acute tubular necrosis (atn) -3 renal failure - hemolytic anemia and mild thrombocytopenia - dic - liver dysfunction with jaundice - low bih weight in primi and secundigravid women (p. vivax causes low bih weight in multigravid women). - aspiration pneumonia - salmonella bacteremia - chest infections in unconcious patients - catheter - induced uti - hemogloblinuria - convulsions - hypotension / shock - bleeding from gastrointestinal tract (hematemesis), gum and nose.",0.718
What is pneumonia?,"pneumonia is an infection in one or both of the lungs. many germs, such as bacteria, viruses, and fungi, can cause pneumonia. you can also get pneumonia by inhaling a liquid or chemical. people most at risk are older than 65 or younger than 2 years of age, or already have health problems. symptoms of pneumonia vary from mild to severe. see your doctor promptly if you - have a high fever - have shaking chills - have a cough with phlegm that doesn't improve or gets worse - develop shortness of breath with normal daily activities - have chest pain when you breathe or cough - feel suddenly worse after a cold or the flu your doctor will use your medical history, a physical exam, and lab tests to diagnose pneumonia. treatment depends on what kind you have. if bacteria are the cause, antibiotics should help. if you have viral pneumonia, your doctor may prescribe an antiviral medicine to treat it. preventing pneumonia is always better than treating it. vaccines are available to prevent pneumococcal pneumonia and the flu. other preventive measures include washing your hands frequently and not smoking. nih: national heart, lung, and blood institute",1.0
What are the symptoms of dengue?,"what are the signs and symptoms of dengue fever? the human phenotype ontology provides the following list of signs and symptoms for dengue fever. if the information is available, the table below includes how often the symptom is seen in people with this condition. you can use the medlineplus medical dictionary to look up the definitions for these medical terms. signs and symptoms approximate number of patients (when available) abnormality of temperature regulation 90% migraine 90% abdominal pain 50% arthralgia 50% pruritus 50% skin rash 50% ascites 7.5% bruising susceptibility 7.5% diarrhea 7.5% epistaxis 7.5% gastrointestinal hemorrhage 7.5% gingival bleeding 7.5% hepatomegaly 7.5% hypoproteinemia 7.5% hypotension 7.5% intracranial hemorrhage 7.5% leukopenia 7.5% nausea and vomiting 7.5% reduced consciousness/confusion 7.5% sudden cardiac death 7.5% thrombocytopenia 7.5% the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition. much of this information comes from orphanet, a european rare disease database. the frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. the frequency may also be listed as a fraction. the first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. for example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. sometimes, no information on frequency is available. in these cases, the sign or symptom may be rare or common.",0.868
What is COVID-19?,"correct option: it is a new strain which originated in wuhan, china.. true about covid 19 is that it is a new strain which originated in wuhan, china. coronaviruses (cov) are a large family of viruses that cause illness ranging from the common cold to more severe diseases such as mers, sars. covid-19 is a new strain that has not been previously identified in humans. common signs of infection include respiratory symptoms, fever, cough, shoness of breath and breathing difficulties. in more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death. cases maybe asymptomatic. the incubation period: 2-14 days, therefore quarantine is for 14 days. hand hygiene, cough etiquette, maintaining distance from sick people could be helpful in prevention. flu vaccine has the circulating strains of influenza a and b. it does not offer protection against corona virus.",0.847
